ID,Size,URL
MS-T07005112-RENKSIZ-S,S,https://www.marksandspencer.com.tr/erkek-renksiz-pamuklu-cizgili-ev-sortu-10000000827964/
MS-T07005112-RENKSIZ-M,M,https://www.marksandspencer.com.tr/erkek-renksiz-pamuklu-cizgili-ev-sortu-10000000827964/
MS-T07005112-RENKSIZ-L,L,https://www.marksandspencer.com.tr/erkek-renksiz-pamuklu-cizgili-ev-sortu-10000000827964/
MS-T07005112-RENKSIZ-XL,XL,https://www.marksandspencer.com.tr/erkek-renksiz-pamuklu-cizgili-ev-sortu-10000000827964/
MS-T07005112-RENKSIZ-XXL,XXL,https://www.marksandspencer.com.tr/erkek-renksiz-pamuklu-cizgili-ev-sortu-10000000827964/
MS-T14006901V-SIYAH-S,S,https://www.marksandspencer.com.tr/erkek-siyah-5li-cotton-rich-cool-fresh-trade-mark-regular-fit-erkek-brief-kulot-seti-5645340355/
MS-T14006901V-SIYAH-M,M,https://www.marksandspencer.com.tr/erkek-siyah-5li-cotton-rich-cool-fresh-trade-mark-regular-fit-erkek-brief-kulot-seti-5645340355/
MS-T14006901V-SIYAH-L,L,https://www.marksandspencer.com.tr/erkek-siyah-5li-cotton-rich-cool-fresh-trade-mark-regular-fit-erkek-brief-kulot-seti-5645340355/
MS-T14006901V-SIYAH-XL,XL,https://www.marksandspencer.com.tr/erkek-siyah-5li-cotton-rich-cool-fresh-trade-mark-regular-fit-erkek-brief-kulot-seti-5645340355/
MS-T14006901V-SIYAH-XXL,XXL,https://www.marksandspencer.com.tr/erkek-siyah-5li-cotton-rich-cool-fresh-trade-mark-regular-fit-erkek-brief-kulot-seti-5645340355/
MS-T16005412M-TAS-S,S,https://www.marksandspencer.com.tr/erkek-tas-rengi-softshell-stormwear-tm-ceket-10000000596215/?integration_color=STONE
MS-T16005412M-TAS-M,M,https://www.marksandspencer.com.tr/erkek-tas-rengi-softshell-stormwear-tm-ceket-10000000596215/?integration_color=STONE
MS-T16005412M-TAS-L,L,https://www.marksandspencer.com.tr/erkek-tas-rengi-softshell-stormwear-tm-ceket-10000000596215/?integration_color=STONE
MS-T16005412M-TAS-XL,XL,https://www.marksandspencer.com.tr/erkek-tas-rengi-softshell-stormwear-tm-ceket-10000000596215/?integration_color=STONE
MS-T16005412M-TAS-XXL,XXL,https://www.marksandspencer.com.tr/erkek-tas-rengi-softshell-stormwear-tm-ceket-10000000596215/?integration_color=STONE
MS-T14005390A-GRI-S,S,https://www.marksandspencer.com.tr/erkek-gri-5-li-supima-r-trunk-seti-10000000992995/
MS-T14005390A-GRI-M,M,https://www.marksandspencer.com.tr/erkek-gri-5-li-supima-r-trunk-seti-10000000992995/
MS-T14005390A-GRI-L,L,https://www.marksandspencer.com.tr/erkek-gri-5-li-supima-r-trunk-seti-10000000992995/
MS-T14005390A-GRI-XL,XL,https://www.marksandspencer.com.tr/erkek-gri-5-li-supima-r-trunk-seti-10000000992995/
MS-T14005390A-GRI-XXL,XXL,https://www.marksandspencer.com.tr/erkek-gri-5-li-supima-r-trunk-seti-10000000992995/
MS-T37001804P-LACIVERT-XS,XS,https://www.marksandspencer.com.tr/kadin-lacivert-wide-leg-pijama-alti-10000001144973/
MS-T37001804P-LACIVERT-S,S,https://www.marksandspencer.com.tr/kadin-lacivert-wide-leg-pijama-alti-10000001144973/
MS-T37001804P-LACIVERT-M,M,https://www.marksandspencer.com.tr/kadin-lacivert-wide-leg-pijama-alti-10000001144973/
MS-T37001804P-LACIVERT-L,L,https://www.marksandspencer.com.tr/kadin-lacivert-wide-leg-pijama-alti-10000001144973/
MS-T37001804P-LACIVERT-XL,XL,https://www.marksandspencer.com.tr/kadin-lacivert-wide-leg-pijama-alti-10000001144973/
MS-T61004902E-BEYAZ-34,34,https://www.marksandspencer.com.tr/kadin-beyaz-3lu-flexifit-tm-dantel-yuksek-bel-sort-kulot-seti-10000000185360/
